test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,3,159,0.8856,0.8690,39.78,experiment_log_2025-09-21 04:25:19.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,4,93,0.8856,0.8358,38.70,experiment_log_2025-09-21 04:25:58.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,45,0.8838,0.8432,42.80,experiment_log_2025-09-21 04:26:41.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,1,87,0.6420,0.6410,20.95,experiment_log_2025-09-21 04:27:02.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,2,56,0.6820,0.6870,21.53,experiment_log_2025-09-21 04:27:23.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,3,60,0.7260,0.7390,23.26,experiment_log_2025-09-21 04:27:46.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,4,43,0.7080,0.7240,24.11,experiment_log_2025-09-21 04:28:11.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,77,0.7340,0.7350,21.27,experiment_log_2025-09-21 04:28:32.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,1,28,0.7640,0.7430,23.90,experiment_log_2025-09-21 04:28:56.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,2,28,0.6980,0.6940,29.64,experiment_log_2025-09-21 04:29:25.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,3,29,0.7700,0.7530,24.11,experiment_log_2025-09-21 04:29:49.txt
